name,url,promoted_content,query,tweet_volume
#GRAMMYs,http://twitter.com/search?q=%23GRAMMYs,,%23GRAMMYs,1606254.0
Beyoncé,http://twitter.com/search?q=Beyonc%C3%A9,,Beyonc%C3%A9,913819.0
Syria,http://twitter.com/search?q=Syria,,Syria,869826.0
Harry Styles,http://twitter.com/search?q=%22Harry+Styles%22,,%22Harry+Styles%22,611803.0
Taylor,http://twitter.com/search?q=Taylor,,Taylor,530322.0
China,http://twitter.com/search?q=China,,China,469761.0
Album of the Year,http://twitter.com/search?q=%22Album+of+the+Year%22,,%22Album+of+the+Year%22,446650.0
Lizzo,http://twitter.com/search?q=Lizzo,,Lizzo,423334.0
Adele,http://twitter.com/search?q=Adele,,Adele,274701.0
AOTY,http://twitter.com/search?q=AOTY,,AOTY,226362.0
blackpink,http://twitter.com/search?q=blackpink,,blackpink,202141.0
Kyrie,http://twitter.com/search?q=Kyrie,,Kyrie,174464.0
Turkish,http://twitter.com/search?q=Turkish,,Turkish,168965.0
The Voice,http://twitter.com/search?q=%22The+Voice%22,,%22The+Voice%22,165405.0
Manchester City,http://twitter.com/search?q=%22Manchester+City%22,,%22Manchester+City%22,155887.0
Satan,http://twitter.com/search?q=Satan,,Satan,126050.0
