"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
,World,"677,587,006","+60,338","6,782,362",+283,"650,026,847","+68,630","20,777,797","41,234","86,928",870.1,,
1,USA,"104,764,296",,"1,140,015                                ",,"101,991,199",,"1,633,082","3,130","312,911","3,405","1,161,863,110","3,470,265"
2,India,"44,684,118",,"530,750                                ",,"44,151,525",,"1,843",N/A,"31,767",377,"916,815,514","651,781"
3,France,"39,562,314",,"164,537                                ",,"39,320,012",,"77,765",869,"603,226","2,509","271,490,188","4,139,547"
4,Germany,"37,907,312",,"166,763                                ",,"37,514,100","+2,700","226,449",N/A,"451,904","1,988","122,332,384","1,458,359"
5,Brazil,"36,932,532",,"697,674                                ",,"36,042,782",,"192,076",N/A,"171,497","3,240","63,776,166","296,146"
6,Japan,"32,949,351","+13,740","70,695                                ",+137,"21,638,906","+3,369","11,239,750",291,"262,367",563,"93,564,976","745,034"
7,S. Korea,"30,350,199","+12,051","33,736                                ",+23,"30,006,843","+19,522","309,620",268,"591,277",657,"15,804,065","307,892"
8,Italy,"25,519,067",,"187,551                                ",,"25,135,458",,"196,058",163,"423,463","3,112","266,620,812","4,424,304"
9,UK,"24,315,983",,"205,540                                ",,"24,049,951",,"60,492",N/A,"354,989","3,001","522,526,476","7,628,357"
10,Russia,"22,072,717","+12,347","395,551                                ",+31,"21,432,694","+6,805","244,472",N/A,"151,384","2,713","273,400,000","1,875,095"
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052"
12,Spain,"13,748,918",,"118,976                                ",,"13,578,453",,"51,489",231,"294,289","2,547","471,036,328","10,082,298"
13,Vietnam,"11,526,692",+41,"43,186                                ",,"10,614,671",+11,"868,835",3,"116,486",436,"85,826,548","867,342"
14,Australia,"11,330,342",,"19,070                                ",,"11,294,919",,"16,353",44,"434,632",732,"78,835,048","3,024,116"
15,Argentina,"10,040,329",,"130,437                                ",,"9,899,811","+1,231","10,081",363,"218,219","2,835","35,716,069","776,264"
16,Taiwan,"9,809,098","+17,199","17,103                                ",+57,"9,336,578","+10,586","455,417",,"410,618",716,"30,528,935","1,277,971"
17,Netherlands,"8,586,372",,"22,992                                ",,"8,554,144",+349,"9,236",53,"498,876","1,336","25,984,435","1,509,718"
18,Iran,"7,565,552",+161,"144,781                                ",+2,"7,338,245",+122,"82,526",233,"87,948","1,683","55,034,937","639,771"
19,Mexico,"7,400,848",,"332,580                                ",,"6,640,822",,"427,446",N/A,"56,253","2,528","19,414,006","147,565"
20,Indonesia,"6,732,799",+181,"160,864                                ",+4,"6,567,843",+188,"4,092",N/A,"24,120",576,"114,158,919","408,975"
21,Poland,"6,389,741",+169,"118,779                                ",,"5,335,940",,"935,022",696,"169,310","3,147","38,174,538","1,011,520"
22,Colombia,"6,358,068",,"142,576                                ",,"6,181,914",,"33,578",342,"123,427","2,768","36,951,507","717,327"
23,Greece,"5,831,467",,"35,957                                ",,"5,672,479",,"123,031",115,"565,249","3,485","102,228,365","9,909,078"
24,Austria,"5,829,303","+3,286","21,788                                ",,"5,765,269","+2,644","42,246",40,"642,935","2,403","211,273,524","23,302,116"
25,Portugal,"5,565,479",,"26,059                                ",,"5,535,689",+155,"3,731",61,"548,833","2,570","45,931,864","4,529,515"
26,Ukraine,"5,376,812",,"111,131                                ",,"5,257,672",+443,"8,009",,"124,486","2,573","32,603,805","754,855"
27,Chile,"5,137,305",,"63,985                                ",,"5,068,417",,"4,903",99,"266,870","3,324","48,253,500","2,506,650"
28,Malaysia,"5,039,326",,"36,951                                ",,"4,992,776",,"9,599",11,"151,874","1,114","67,846,657","2,044,740"
29,Israel,"4,790,774",,"12,229                                ",,"4,774,125",,"4,420",57,"513,701","1,311","41,373,364","4,436,346"
31,Thailand,"4,727,236",,"33,882                                ",,"4,692,636",,718,N/A,"67,457",483,"17,270,775","246,450"
32,Belgium,"4,700,949",,"33,616                                ",,"4,652,531",+559,"14,802",43,"402,883","2,881","36,623,129","3,138,692"
33,Czechia,"4,595,326",+136,"42,348                                ",,"4,547,518",+477,"5,460",24,"427,998","3,944","56,929,714","5,302,306"
34,Canada,"4,560,962",,"50,629                                ",,"4,469,437","+2,358","40,896",99,"118,811","1,319","66,343,123","1,728,207"
35,Peru,"4,483,619",+176,"219,260                                ",+10,"4,262,040",+23,"2,319",49,"133,107","6,509","37,878,307","1,124,512"
36,Switzerland,"4,408,833",,"14,452                                ",,"4,369,780",+203,"24,601",45,"502,509","1,647","23,833,472","2,716,487"
37,Philippines,"4,074,691",+223,"65,949                                ",+11,"3,999,565",+222,"9,177",162,"36,217",586,"34,452,554","306,220"
38,South Africa,"4,057,211",,"102,595                                ",,"3,912,506",,"42,110",192,"66,779","1,689","26,473,049","435,726"
39,Romania,"3,327,805",,"67,619                                ",,"3,255,029",,"5,157",93,"174,859","3,553","26,460,191","1,390,349"
40,Denmark,"3,173,926",,"8,189                                ",,"3,164,747",,990,19,"543,951","1,403","129,165,072","22,136,449"
41,Hong Kong,"2,881,025",+241,"13,418                                ",+2,"2,742,411","+15,846","125,196",28,"378,868","1,765","76,127,725","10,011,143"
42,Sweden,"2,696,168",,"23,534                                ",,"2,666,514",+494,"6,120",13,"263,839","2,303","19,442,594","1,902,598"
43,Serbia,"2,479,303",,"17,738                                ",,"2,448,755",,"12,810",15,"286,525","2,050","12,255,436","1,416,320"
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523"
45,Singapore,"2,221,762",,"1,722                                ",,"2,149,115",,"70,925",,"373,811",290,"24,756,666","4,165,302"
46,Hungary,"2,193,272",,"48,707                                ",,"2,140,795",,"3,770",8,"228,317","5,070","11,394,556","1,186,160"
47,New Zealand,"2,191,215",,"3,806                                ",,"2,179,876",,"7,533",,"447,351",777,"7,768,604","1,586,011"
48,Bangladesh,"2,037,664",,"29,444                                ",,"1,994,513",,"13,707",N/A,"12,137",175,"15,249,261","90,831"
49,Slovakia,"1,861,585",+44,"20,980                                ",+3,"1,839,773",+2,832,13,"340,938","3,842","7,395,704","1,354,477"
50,Georgia,"1,818,861",,"16,941                                ",,"1,776,548",,"25,372",,"458,297","4,269","16,920,079","4,263,340"
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945"
52,Ireland,"1,701,617",,"8,602                                ",,"1,689,946",+341,"3,069",18,"338,954","1,713","13,003,038","2,590,144"
53,Pakistan,"1,576,517",+22,"30,640                                ",,"1,538,689",,"7,188",8,"6,870",134,"30,570,862","133,213"
54,Norway,"1,478,315",,"5,112                                ",,"1,472,508",,695,20,"268,230",928,"11,002,430","1,996,315"
55,Finland,"1,460,857",,"8,821                                ",,"1,450,168",+153,"1,868",21,"262,982","1,588","12,036,493","2,166,801"
56,Kazakhstan,"1,406,682",+46,"13,695                                ",,"1,383,020",,"9,967",24,"73,245",713,"11,575,012","602,707"
57,Slovenia,"1,323,752",+65,"7,063                                ",,"1,314,053",+238,"2,636",7,"637,021","3,399","2,829,571","1,361,658"
58,Lithuania,"1,299,971",+48,"9,559                                ",,"1,284,703",+27,"5,709",4,"488,397","3,591","10,360,459","3,892,410"
59,Bulgaria,"1,295,854",,"38,194                                ",,"1,255,019",,"2,641",24,"189,325","5,580","11,012,973","1,609,002"
60,Morocco,"1,272,332",,"16,296                                ",,"1,255,962",,74,3,"33,684",431,"12,951,936","342,891"
61,Croatia,"1,268,224",+39,"17,923                                ",+2,"1,249,825",+50,476,12,"312,425","4,415","5,493,343","1,353,278"
62,Guatemala,"1,231,920",,"20,146                                ",,"1,210,146",,"1,628",5,"66,289","1,084","6,816,842","366,812"
63,Lebanon,"1,230,021",,"10,802                                ",,"1,087,587",,"131,632",74,"184,001","1,616","4,795,578","717,380"
64,Bolivia,"1,190,918",,"22,354                                ",,"1,152,291",,"16,273",220,"99,304","1,864","2,705,422","225,590"
65,Costa Rica,"1,190,377",,"9,181                                ",,"860,711",,"320,485",52,"229,698","1,772","4,659,757","899,158"
66,Tunisia,"1,150,477",,"29,312                                ",,N/A,N/A,N/A,44,"95,502","2,433","4,998,401","414,920"
67,Cuba,"1,112,513",,"8,530                                ",,"1,103,898",,85,2,"98,403",754,"14,304,679","1,265,268"
68,Ecuador,"1,052,007",,"35,942                                ",,"1,015,297",,768,759,"58,079","1,984","3,082,403","170,173"
69,UAE,"1,050,402",+72,"2,348                                ",,"1,033,751",+67,"14,303",,"104,188",233,"198,900,746","19,728,723"
70,Uruguay,"1,033,265",,"7,614                                ",,"1,024,935",,716,18,"295,555","2,178","6,114,822","1,749,083"
71,Panama,"1,030,214",,"8,599                                ",,"1,020,868",,747,16,"231,667","1,934","7,491,978","1,684,740"
72,Mongolia,"1,007,888",,"2,179                                ",,"1,005,686",,23,192,"298,361",645,"4,030,048","1,193,000"
73,Nepal,"1,001,115",+2,"12,020                                ",,"989,088",,7,,"33,121",398,"6,007,446","198,754"
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722"
75,Latvia,"975,590",,"6,225                                ",,"969,017",,348,13,"527,678","3,367","7,860,783","4,251,745"
76,Saudi Arabia,"828,525",+39,"9,592                                ",+1,"815,990",+30,"2,943",33,"23,114",268,"45,090,620","1,257,937"
77,Azerbaijan,"828,210",,"10,098                                ",,"817,965",,147,,"80,407",980,"7,504,181","728,547"
78,Paraguay,"806,790",,"19,843                                ",,N/A,N/A,N/A,7,"110,431","2,716","2,657,506","363,751"
79,Bahrain,"700,835",,"1,544                                ",,"698,541",,750,15,"392,848",865,"10,688,096","5,991,142"
80,Sri Lanka,"672,007",,"16,828                                ",,"655,175",,4,,"31,146",780,"6,486,117","300,619"
81,Kuwait,"662,858",,"2,570                                ",,"660,237",,51,,"151,326",587,"8,455,743","1,930,391"
82,Dominican Republic,"660,412",,"4,384                                ",,"644,785",,"11,243",4,"59,731",397,"3,740,928","338,350"
83,Cyprus,"645,515",,"1,293                                ",,"639,436",,"4,786",60,"527,646","1,057","9,640,118","7,879,860"
84,Myanmar,"633,864",,"19,490                                ",,"614,328",,46,,"11,477",353,"9,986,665","180,829"
85,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907"
86,Estonia,"614,198",,"2,919                                ",,"524,990",,"86,289",4,"464,629","2,208","3,663,669","2,771,497"
87,Moldova,"599,578",,"11,957                                ",,"504,142",,"83,479",49,"149,403","2,979","3,216,305","801,437"
88,Venezuela,"551,720",,"5,851                                ",,"545,505",,364,36,"18,851",200,"3,359,014","114,771"
89,Egypt,"515,666",,"24,613                                ",,"442,182",,"48,871",122,"4,858",232,"3,693,367","34,792"
90,Libya,"507,166",,"6,437                                ",,"500,725",,4,,"72,033",914,"2,483,446","352,725"
91,Ethiopia,"499,761",,"7,572                                ",,"486,957",,"5,232",,"4,137",63,"5,472,361","45,296"
92,Qatar,"492,925",,686                                ,,"491,995",,244,1,"165,416",230,"4,065,369","1,364,257"
93,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027"
94,Honduras,"470,940",,"11,104                                ",,N/A,N/A,N/A,105,"46,075","1,086","1,620,796","158,571"
95,Armenia,"446,332",,"8,719                                ",,"435,162",,"2,451",,"150,181","2,934","3,242,901","1,091,164"
