"Country,Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical"
,World,"+60,338",283.0,"+68,630","20,777,797"
1.0,USA,,,,"1,633,082"
2.0,India,,,,"1,843"
3.0,France,,,,"77,765"
4.0,Germany,,,"+2,700","226,449"
5.0,Brazil,,,,"192,076"
6.0,Japan,"+13,740",137.0,"+3,369","11,239,750"
7.0,S. Korea,"+12,051",23.0,"+19,522","309,620"
8.0,Italy,,,,"196,058"
9.0,UK,,,,"60,492"
10.0,Russia,"+12,347",31.0,"+6,805","244,472"
11.0,Turkey,,,,
12.0,Spain,,,,"51,489"
13.0,Vietnam,+41,,+11,"868,835"
14.0,Australia,,,,"16,353"
15.0,Argentina,,,"+1,231","10,081"
16.0,Taiwan,"+17,199",57.0,"+10,586","455,417"
17.0,Netherlands,,,+349,"9,236"
18.0,Iran,+161,2.0,+122,"82,526"
19.0,Mexico,,,,"427,446"
20.0,Indonesia,+181,4.0,+188,"4,092"
21.0,Poland,+169,,,"935,022"
22.0,Colombia,,,,"33,578"
23.0,Greece,,,,"123,031"
24.0,Austria,"+3,286",,"+2,644","42,246"
25.0,Portugal,,,+155,"3,731"
26.0,Ukraine,,,+443,"8,009"
27.0,Chile,,,,"4,903"
28.0,Malaysia,,,,"9,599"
29.0,Israel,,,,"4,420"
31.0,Thailand,,,,718
32.0,Belgium,,,+559,"14,802"
33.0,Czechia,+136,,+477,"5,460"
34.0,Canada,,,"+2,358","40,896"
35.0,Peru,+176,10.0,+23,"2,319"
36.0,Switzerland,,,+203,"24,601"
37.0,Philippines,+223,11.0,+222,"9,177"
38.0,South Africa,,,,"42,110"
39.0,Romania,,,,"5,157"
40.0,Denmark,,,,990
41.0,Hong Kong,+241,2.0,"+15,846","125,196"
42.0,Sweden,,,+494,"6,120"
43.0,Serbia,,,,"12,810"
44.0,Iraq,,,,673
45.0,Singapore,,,,"70,925"
46.0,Hungary,,,,"3,770"
47.0,New Zealand,,,,"7,533"
48.0,Bangladesh,,,,"13,707"
49.0,Slovakia,+44,3.0,+2,832
50.0,Georgia,,,,"25,372"
51.0,Jordan,,,,"1,868"
52.0,Ireland,,,+341,"3,069"
53.0,Pakistan,+22,,,"7,188"
54.0,Norway,,,,695
55.0,Finland,,,+153,"1,868"
56.0,Kazakhstan,+46,,,"9,967"
57.0,Slovenia,+65,,+238,"2,636"
58.0,Lithuania,+48,,+27,"5,709"
59.0,Bulgaria,,,,"2,641"
60.0,Morocco,,,,74
61.0,Croatia,+39,2.0,+50,476
62.0,Guatemala,,,,"1,628"
63.0,Lebanon,,,,"131,632"
64.0,Bolivia,,,,"16,273"
65.0,Costa Rica,,,,"320,485"
66.0,Tunisia,,,,
67.0,Cuba,,,,85
68.0,Ecuador,,,,768
69.0,UAE,+72,,+67,"14,303"
70.0,Uruguay,,,,716
71.0,Panama,,,,747
72.0,Mongolia,,,,23
73.0,Nepal,+2,,,7
74.0,Belarus,,,,"1,327"
75.0,Latvia,,,,348
76.0,Saudi Arabia,+39,1.0,+30,"2,943"
77.0,Azerbaijan,,,,147
78.0,Paraguay,,,,
79.0,Bahrain,,,,750
80.0,Sri Lanka,,,,4
81.0,Kuwait,,,,51
82.0,Dominican Republic,,,,"11,243"
83.0,Cyprus,,,,"4,786"
84.0,Myanmar,,,,46
85.0,Palestine,,,,159
86.0,Estonia,,,,"86,289"
87.0,Moldova,,,,"83,479"
88.0,Venezuela,,,,364
89.0,Egypt,,,,"48,871"
90.0,Libya,,,,4
91.0,Ethiopia,,,,"5,232"
92.0,Qatar,,,,244
93.0,Réunion,,,,"67,095"
94.0,Honduras,,,,
95.0,Armenia,,,,"2,451"
96.0,Bosnia and Herzegovina,,,,"6,127"
97.0,Oman,,,,"10,152"
98.0,North Macedonia,,,,148
99.0,Kenya,,,,34
100.0,Zambia,,,,"1,026"
101.0,Albania,,,,"1,627"
102.0,Botswana,,,,427
103.0,Luxembourg,,,,"7,633"
104.0,Montenegro,,,,466
105.0,Brunei ,,,,"32,999"
106.0,Algeria,,,,"81,757"
107.0,Nigeria,,,,"3,458"
108.0,Zimbabwe,,,,"1,454"
109.0,Uzbekistan,,,,"7,620"
110.0,Mozambique,,,,"1,777"
111.0,Martinique,,,,
112.0,Laos,,,,
113.0,Afghanistan,+9,,+26,"12,549"
114.0,Iceland,,,,
115.0,Kyrgyzstan,,,,"7,202"
116.0,El Salvador,,,,"18,145"
117.0,Guadeloupe,,,,
118.0,Trinidad and Tobago,,,,181
119.0,Maldives,,,,"21,723"
120.0,Ghana,,,,13
121.0,Namibia,,,,201
122.0,Uganda,,,,"66,339"
123.0,Jamaica,,,,"48,149"
124.0,Cambodia,+1,,,8
125.0,Rwanda,,,,63
126.0,Cameroon,,,,"3,412"
127.0,Malta,,,,605
128.0,Barbados,,,,11
129.0,Angola,,,,37
130.0,Channel Islands,,,,100
131.0,French Guiana,,,,"86,367"
132.0,DRC,,,,"9,849"
133.0,Senegal,,,,2
134.0,Malawi,,,,504
135.0,Ivory Coast,,,,45
136.0,Suriname,,,,
137.0,New Caledonia,,,,5
138.0,French Polynesia,,,,
139.0,Eswatini,,,,21
140.0,Guyana,,,,89
141.0,Belize,,,,26
142.0,Fiji,,,,"1,155"
143.0,Madagascar,,,,23
144.0,Sudan,,,,420
145.0,Mauritania,,,,231
146.0,Cabo Verde,,,,59
147.0,Bhutan,,,,"1,023"
149.0,Burundi,,,,10
150.0,Seychelles,,,,53
151.0,Gabon,,,,1
152.0,Andorra,,,,132
153.0,Papua New Guinea,,,,"2,124"
154.0,Curaçao,,,,971
155.0,Aruba,,,,"1,352"
156.0,Tanzania,,,,
157.0,Mayotte,,,,
158.0,Mauritius,,,,657
159.0,Togo,,,,2
160.0,Guinea,,,,16
161.0,Isle of Man,,,,
162.0,Bahamas,,,,292
163.0,Lesotho,,,,"8,087"
164.0,Faeroe Islands,,,,
165.0,Haiti,,,,183
166.0,Mali,,,,123
167.0,Cayman Islands,,,,"22,882"
168.0,Saint Lucia,,,,378
169.0,Benin,,,,2
170.0,Somalia,,,,"12,779"
171.0,Congo,,,,983
