Age,Edu,Comm,Duration,Campaign,PosDays,Last_out,Var_rate,Price_idx,Conf_idx,Month_rate,Quarterly_emp,Target
44,basic.4y,cellular,210,1,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
53,unknown,cellular,138,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
28,university.degree,cellular,339,3,6,success,-1.7,94.055,-39.8,0.729,4991.6,1
39,high.school,cellular,185,2,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
55,basic.4y,cellular,137,1,3,success,-2.9,92.201,-31.4,0.869,5076.2,1
30,basic.4y,cellular,68,8,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
37,basic.4y,cellular,204,1,999,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,basic.9y,cellular,191,1,999,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
36,university.degree,cellular,174,1,3,success,-2.9,92.963,-40.8,1.266,5076.2,1
27,basic.4y,cellular,191,2,999,failure,-1.8,93.075,-47.1,1.41,5099.1,0
34,university.degree,telephone,62,2,999,nonexistent,1.1,93.994,-36.4,4.864,5191,0
41,university.degree,cellular,789,1,999,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
55,university.degree,cellular,372,3,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
33,high.school,cellular,75,5,999,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
26,high.school,telephone,1021,1,999,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
52,high.school,cellular,117,2,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
35,high.school,cellular,1034,2,999,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
27,university.degree,telephone,540,1,999,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1
28,basic.9y,telephone,140,1,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
26,basic.9y,cellular,104,4,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
41,basic.9y,telephone,246,1,999,failure,-1.8,93.075,-47.1,1.405,5099.1,0
35,unknown,telephone,1114,1,999,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
40,university.degree,telephone,340,1,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
32,professional.course,cellular,35,1,999,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
41,high.school,cellular,241,3,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
34,university.degree,cellular,168,2,999,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
49,unknown,cellular,81,1,999,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,0
37,high.school,cellular,226,1,2,success,-1.8,93.075,-47.1,1.365,5099.1,0
35,basic.6y,cellular,746,2,999,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
38,basic.4y,telephone,41,5,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
47,high.school,telephone,115,1,999,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
46,university.degree,cellular,227,2,999,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
27,professional.course,cellular,275,1,999,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
29,high.school,cellular,365,3,999,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
32,basic.9y,cellular,68,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,basic.6y,cellular,54,1,999,failure,-1.8,92.893,-46.2,1.334,5099.1,0
29,basic.4y,cellular,93,1,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
47,high.school,cellular,267,2,999,failure,-1.8,93.075,-47.1,1.405,5099.1,0
44,basic.4y,telephone,17,25,999,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
54,university.degree,cellular,121,11,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
36,basic.9y,telephone,294,2,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
42,basic.4y,telephone,24,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
44,basic.4y,cellular,345,5,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
72,basic.6y,cellular,244,2,999,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,1
48,basic.9y,cellular,213,3,999,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
36,high.school,cellular,371,1,999,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
35,basic.4y,cellular,87,1,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
43,basic.6y,cellular,195,3,999,failure,-1.8,92.893,-46.2,1.354,5099.1,0
56,basic.4y,cellular,102,1,999,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
42,basic.9y,telephone,93,2,999,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
31,university.degree,cellular,244,1,999,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
32,basic.9y,telephone,52,5,999,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
33,high.school,cellular,164,2,999,failure,-1.8,92.893,-46.2,1.354,5099.1,0
31,basic.6y,telephone,91,4,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
39,university.degree,telephone,68,1,999,nonexistent,1.1,93.994,-36.4,4.859,5191,0
30,high.school,telephone,122,4,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,university.degree,cellular,45,4,999,failure,-1.8,92.893,-46.2,1.27,5099.1,0
24,high.school,telephone,61,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,professional.course,telephone,162,4,999,nonexistent,1.1,93.994,-36.4,4.859,5191,0
26,high.school,telephone,126,12,999,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
41,professional.course,telephone,92,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
34,high.school,cellular,329,1,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,university.degree,cellular,116,1,999,nonexistent,-1.8,92.843,-50,1.811,5099.1,1
37,university.degree,cellular,450,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
68,basic.4y,cellular,665,1,999,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
31,high.school,cellular,168,2,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
48,university.degree,cellular,132,1,999,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
33,professional.course,telephone,349,4,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
59,university.degree,telephone,249,3,999,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,0
44,unknown,telephone,336,3,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
28,unknown,telephone,169,1,999,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
50,university.degree,cellular,89,3,4,success,-2.9,92.201,-31.4,0.883,5076.2,0
33,university.degree,cellular,55,1,999,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,professional.course,telephone,221,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
40,university.degree,cellular,77,2,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
45,professional.course,telephone,64,18,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
43,university.degree,telephone,62,2,999,nonexistent,1.1,93.994,-36.4,4.858,5191,0
54,professional.course,telephone,198,3,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
53,professional.course,telephone,249,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
35,university.degree,cellular,106,1,999,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
30,professional.course,cellular,445,1,999,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
25,professional.course,telephone,149,2,999,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
35,professional.course,cellular,66,1,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
54,university.degree,cellular,415,1,999,nonexistent,-1.8,92.843,-50,1.56,5099.1,1
30,basic.6y,cellular,173,2,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38,university.degree,cellular,173,1,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
35,university.degree,cellular,86,1,999,failure,-3.4,92.431,-26.9,0.74,5017.5,0
47,professional.course,telephone,131,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
32,high.school,cellular,523,3,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
27,basic.9y,telephone,383,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
40,basic.9y,telephone,160,1,999,nonexistent,-0.1,93.2,-42,4.245,5195.8,1
31,high.school,telephone,220,3,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,basic.9y,cellular,20,2,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
40,basic.6y,cellular,160,4,999,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
